,station,station_id,total_out,total_in,station_lat,station_long,station_bikes,differences
0,5th & K St NW,31,18496,18616,38.90304,-77.019027,19,1.01
1,19th & East Capitol St SE,32,3186,3204,38.8896,-76.9769,15,1.01
2,Park Rd & Holmead Pl NW,33,7836,6511,38.9308,-77.0315,35,0.83
3,Good Hope & Naylor Rd SE,34,189,96,38.861663,-76.969184,19,0.51
4,Connecticut Ave & Macomb St NW / Cleveland Park,35,0,0,38.933626,-77.05753,11,1.0
5,Randle Circle & Minnesota Ave SE,36,248,245,38.878,-76.9607,11,0.99
6,Minnesota Ave Metro/DOES,37,359,361,38.897063,-76.947446,15,1.01
7,Nannie Helen Burroughs & Minnesota Ave NE,38,200,230,38.901385,-76.941877,11,1.15
8,Anacostia Metro,39,837,840,38.862669,-76.994637,19,1.0
9,Good Hope Rd & MLK Ave SE,40,858,904,38.867373,-76.988039,11,1.05
10,19th & E Street NW,41,918,952,38.8952,-77.0436,11,1.04
11,4th & W St NE,42,3882,3815,38.919077,-77.000648,15,0.98
12,10th & U St NW,43,8214,8153,38.9172,-77.0259,15,0.99
13,Georgia Ave & Fairmont St NW,44,0,0,38.9249,-77.0222,15,1.0
14,1st & N St SE,45,3305,3866,38.874102,-77.005794,39,1.17
15,20th St & Florida Ave NW,46,12500,12237,38.9154,-77.0446,15,0.98
16,7th & T St NW,47,12852,13057,38.9155,-77.0222,15,1.02
17,Eads St & 22nd St S,48,2043,2121,38.854381,-77.053412,15,1.04
18,M St & New Jersey Ave SE,49,5191,6450,38.8763,-77.0037,17,1.24
19,Massachusetts Ave & Dupont Circle NW,51,18510,20890,38.9101,-77.0444,45,1.13
20,1st & M St NE,52,25350,25857,38.905697,-77.005483,15,1.02
21,New Hampshire Ave & Ward Pl NW,53,15785,16711,38.905711,-77.047318,19,1.06
22,17th & K St NW,54,9638,10715,38.90276,-77.03863,23,1.11
23,3rd & H St NW,55,7035,7018,38.899408,-77.015289,15,1.0
24,3rd & D St SE,56,6134,6009,38.8851,-77.0023,11,0.98
25,Potomac & Pennsylvania Ave SE,57,7949,7930,38.8803,-76.9862,15,1.0
26,13th & E St SE,58,3282,3117,38.882915,-76.987907,15,0.95
27,17th & Corcoran St NW,59,18074,18379,38.9121,-77.0387,19,1.02
28,Van Ness Metro / UDC,60,3594,3523,38.944551,-77.063896,15,0.98
29,Florida Ave & R St NW,61,8249,7873,38.9126,-77.0135,15,0.95
30,8th & Eye St SE / Barracks Row,62,4826,4986,38.8792,-76.9953,11,1.03
31,Ward Circle / American University,63,1496,1320,38.938736,-77.087171,15,0.88
32,Wisconsin Ave & Newark St NW,64,5087,4161,38.934881,-77.072755,19,0.82
33,14th St Heights / 14th & Crittenden St NW,65,1258,990,38.947774,-77.032818,11,0.79
34,Anacostia Library,66,266,257,38.865784,-76.9784,11,0.97
35,Pennsylvania & Minnesota Ave SE,67,687,744,38.873057,-76.971015,11,1.08
36,Eastern Market / 7th & North Carolina Ave SE,68,10505,10593,38.886952,-76.996806,15,1.01
37,14th St & New York Ave NW,69,4359,4924,38.899632,-77.031686,23,1.13
38,Benning Branch Library,70,221,257,38.894,-76.947974,11,1.16
39,USDA / 12th & C St SW,71,4491,4857,38.886277,-77.028242,39,1.08
40,Georgetown Harbor / 30th St NW,72,8138,11574,38.902314,-77.059142,19,1.42
41,12th & Newton St NE,73,1066,888,38.933668,-76.991016,11,0.83
42,US Dept of State / Virginia Ave & 21st St NW,74,4650,4681,38.894919,-77.046587,15,1.01
43,L'Enfant Plaza / 7th & C St SW,75,5154,5441,38.886266,-77.022241,15,1.06
44,10th St & Constitution Ave NW,76,7119,8150,38.893028,-77.026013,31,1.14
45,Kennedy Center,77,4541,4947,38.897293,-77.05557,19,1.09
46,Eastern Market Metro / Pennsylvania Ave & 8th St SE,78,18394,18745,38.884095,-76.995234,19,1.02
47,18th & M St NW,79,9275,10743,38.905067,-77.041779,27,1.16
48,Tenleytown / Wisconsin Ave & Albemarle St NW,80,3246,2360,38.947607,-77.079382,15,0.73
49,13th & H St NE,81,8641,9235,38.900427,-76.98825,27,1.07
